Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
0.0,0.7647058823529411,0.1111111111111111,0.75,1.0,0.0,0.0,0.0357142857142857,0.0606060606060606,0.0967741935483871,0.0444444444444444,0.0,0.0,0.0,1.0,0.0,0.0,0.1509433962264151,0.0,0.1,0.2692307692307693,0.2222222222222222,0.1153846153846153,0.6887417218543046,0.0,0.0526315789473684,0.3478260869565217,0.303030303030303,0.15,0.6282051282051281,0.3333333333333333,0.372093023255814,0.4888888888888888,0.7661822985468957,1
0.0,0.4117647058823529,0.2222222222222222,0.6875,1.0,0.0,0.0,0.7857142857142857,0.8181818181818182,0.2258064516129032,0.1555555555555555,1.0,0.0,0.0,1.0,0.0,0.0,0.0377358490566037,0.0,0.0,0.3076923076923077,0.1777777777777777,0.2692307692307693,0.7383916745506149,0.0,0.0,0.3478260869565217,0.2424242424242424,0.35,0.7504615384615384,0.0,0.372093023255814,0.4888888888888888,0.7661822985468957,2
0.0,0.7647058823529411,0.1111111111111111,0.75,1.0,0.0,0.0,0.7857142857142857,0.8181818181818182,0.2258064516129032,0.1777777777777777,1.0,0.0,0.0,1.0,0.0,0.0,0.0943396226415094,0.0,0.0,0.2692307692307693,0.3111111111111111,0.2307692307692307,0.5692420897718911,0.0833333333333333,0.0,0.3478260869565217,0.303030303030303,0.4,0.6374038461538462,0.0,0.5930232558139535,1.0,0.3117569352708058,1
0.0,0.0,0.2222222222222222,0.5,1.0,0.0,0.0,0.0,0.3939393939393939,0.1290322580645161,0.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0377358490566037,0.0,0.0,0.1923076923076923,0.1111111111111111,0.1923076923076923,0.5933774834437086,0.0,0.0,0.217391304347826,0.3333333333333333,0.2,0.6326923076923077,0.0,0.372093023255814,0.4888888888888888,0.7661822985468957,1
0.0,0.4117647058823529,0.2222222222222222,0.9375,1.0,0.0,0.0,0.4285714285714285,0.0,0.2903225806451612,0.0666666666666666,1.0,0.0,0.0,1.0,0.0,0.0,0.0566037735849056,0.0,0.0,0.2692307692307693,0.2666666666666666,0.2307692307692307,0.6181015452538631,0.0,0.0,0.3043478260869565,0.303030303030303,0.15,0.7,0.0,1.0,0.2444444444444444,0.4147952443857331,1
0.0,0.0,0.1111111111111111,0.4375,1.0,0.0,0.0,0.0,0.0,0.0967741935483871,0.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0566037735849056,0.0,0.0,0.2307692307692307,0.2444444444444444,0.2307692307692307,0.7064017660044151,0.0,0.0,0.2608695652173913,0.303030303030303,0.3,0.7,0.0,1.0,0.2444444444444444,0.4147952443857331,1
0.0,0.0,0.1111111111111111,0.9375,1.0,0.0,0.0,0.7857142857142857,0.787878787878788,0.1612903225806451,0.1111111111111111,0.0,0.0,0.0,1.0,0.0,0.0,0.0377358490566037,0.0,0.0,0.2307692307692307,0.2,0.1538461538461538,0.6622516556291391,0.0,0.0,0.2608695652173913,0.2727272727272727,0.25,0.673076923076923,0.0,0.2093023255813954,0.0,0.1241743725231175,1
0.0,0.4117647058823529,0.2222222222222222,0.8125,1.0,0.0,0.0,0.0714285714285714,0.0,0.0967741935483871,0.0222222222222222,0.0,0.0,0.0,1.0,0.0,0.0,0.0377358490566037,0.0,0.0,0.1923076923076923,0.1111111111111111,0.1923076923076923,0.7099337748344371,0.0,0.0,0.217391304347826,0.1515151515151515,0.25,0.7538461538461538,0.0,0.2093023255813954,0.0,0.1241743725231175,2
0.0,0.0,0.6666666666666666,0.5,1.0,0.0,0.0,0.7857142857142857,0.787878787878788,0.2903225806451612,0.2,1.0,0.0,0.0,1.0,1.0,0.0,0.1132075471698113,0.0,0.0,0.1923076923076923,0.1333333333333333,0.1538461538461538,0.7417218543046358,0.0,0.0,0.217391304347826,0.1515151515151515,0.25,0.7430769230769231,0.0,0.4069767441860464,0.3111111111111111,0.8031704095112285,1
0.0,0.8235294117647058,0.1111111111111111,0.125,0.0,0.8125,0.0,0.0,0.0606060606060606,0.1290322580645161,0.1333333333333333,0.0,0.0,1.0,1.0,0.0,0.0,0.0566037735849056,0.0,0.15,0.2307692307692307,0.1333333333333333,0.2307692307692307,0.7328918322295807,0.0,0.1052631578947368,0.2608695652173913,0.2121212121212121,0.3,0.7846153846153845,0.0,0.5581395348837211,0.2888888888888888,0.7727873183619551,2
